,City,L/C Price,city_rank
0,Blythe,219900.0,1
1,Quail Valley,220000.0,2
2,Lake Los Angeles,232727.14285714287,3
3,Outside State,245000.0,4
4,Cabazon,250114.5,5
5,Lake Elizabeth,260000.0,6
6,Sun City,273229.6666666667,7
7,DHS,277085.1388888889,8
8,Banning,288070.9,9
9,Little Rock,300045.45454545453,10
10,San Jacinto,308198.725,11
11,Pearblossom,313333.3333333333,12
12,Hemet,317135.5526992288,13
13,Lancaster,317870.2899159664,14
14,Thousand Palms,325000.0,15
15,Anza,335000.0,16
16,Idyllwild,341870.0,17
17,Indio,341923.07692307694,18
18,Coachella,342644.54545454547,19
19,Palmdale,348409.62083333335,20
20,Homeland,349900.0,21
21,Beaumont,359082.3432835821,22
22,Moreno Valley,359280.8185483871,23
23,Perris,366586.3661971831,24
24,Calimesa,377226.2,25
25,Romoland,378850.0,26
26,Cathedral City,380100.32258064515,27
27,Lake Elsinore,381113.20675105485,28
28,Nuevo/Lakeview,388258.0,29
29,Quartz Hill,392625.0,30
30,Highgrove,394945.0,31
31,Menifee,397936.9938271605,32
32,French Valley,428000.0,33
33,La Quinta,433484.7619047619,34
34,Woodcrest,434500.0,35
35,Compton,436876.8115942029,36
36,Lynwood,437615.3846153846,37
37,Winchester,440214.8761061947,38
38,Pomona,453055.9595959596,39
39,South El Monte,453583.3333333333,40
40,Wildomar,453652.2192982456,41
41,Cudahy,460000.0,42
42,City of Commerce,463000.0,43
43,Riverside (City),463950.9617283951,44
44,Wilmington,469876.4705882353,45
45,Maywood,471666.6666666667,46
46,Bell,480500.0,47
47,Huntington Park,481000.0,48
48,San Fernando,485625.0,49
49,Pacoima,486153.76923076925,50
50,Bel Air,487625.0,51
51,Paramount,487866.6666666667,52
52,Kagel Canyon,490000.0,53
53,Baldwin Park,490643.3333333333,54
54,South Gate,492604.1666666667,55
55,Cherry Valley,496874.9166666667,56
56,La Puente,497581.462962963,57
57,Murrieta,504628.14814814815,58
58,Bell Gardens,506750.0,59
59,Colton,508333.3333333333,60
60,Bermuda Dunes,508559.8,61
61,Panorama City,508714.28571428574,62
62,Pico Rivera,511053.5714285714,63
63,Hollydale,515000.0,64
64,Palm Desert,517391.6666666667,65
65,Norwalk,517787.8787878788,66
66,Azusa,527016.1290322581,67
67,El Monte,528997.4166666666,68
68,Santa Fe Springs,530937.5,69
