,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,BldgType,Neighborhood,OverallQual,OverallCond,Heating,CentralAir,Electrical,1stFlrSF,2ndFlrSF,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageCars,GarageArea,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,SC_Abnorml,SC_AdjLand,SC_Alloca,SC_Family,SC_Normal,SC_Partial,SalePrice
0,1,60,3,65.0,8450,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,856,854,0,2,1,3,1,3,8,0,4.0,2,548,3,2,0,61,0,0,0,0,0,0,0,0,0,0,1,0,208500
1,3,60,3,68.0,11250,2,2,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,920,866,0,2,1,3,1,3,6,1,4.0,2,608,3,2,0,42,0,0,0,0,0,0,0,0,0,0,1,0,223500
2,14,20,3,91.0,10652,2,2,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1494,0,0,2,0,3,1,3,7,1,4.0,3,840,3,2,160,33,0,0,0,0,0,0,0,0,0,0,0,1,279500
3,23,20,3,75.0,9742,2,1,2,2,1.0,1,4,4,4,16,8,5,6,1,5.0,1795,0,0,2,0,3,1,3,7,1,4.0,2,534,3,2,171,159,0,0,0,0,0,0,0,0,0,0,1,0,230000
4,33,20,3,85.0,11049,2,1,2,2,1.5,1,4,4,4,16,8,5,6,1,5.0,1234,0,0,2,0,3,1,3,7,0,4.0,2,484,3,2,0,30,0,0,0,0,0,0,0,0,0,0,1,0,179900
5,37,20,3,112.0,10859,2,1,2,2,1.5,1,4,4,4,16,5,5,6,1,5.0,1097,0,0,1,1,3,1,2,6,0,4.0,2,672,3,2,392,64,0,0,0,0,0,0,0,0,0,0,1,0,145000
6,44,20,3,70.04995836802665,9200,2,2,2,2,3.0,1,4,4,4,16,5,6,6,1,5.0,938,0,0,1,0,3,1,2,5,0,3.0,1,308,3,2,145,0,0,0,0,0,3,0,0,0,0,0,1,0,130250
7,58,60,3,89.0,11645,2,2,2,2,1.5,1,4,4,4,16,7,5,6,1,5.0,860,860,0,2,1,3,1,3,7,0,4.0,2,565,3,2,0,70,0,0,0,0,0,0,0,0,0,0,1,0,196500
8,60,20,3,60.0,7200,2,1,1,2,1.0,1,4,4,4,16,5,7,6,1,5.0,780,0,0,1,0,2,1,2,4,0,3.0,1,352,3,2,196,0,0,0,0,0,3,0,0,0,0,0,1,0,124900
9,65,60,3,70.04995836802665,9375,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1057,977,0,2,1,3,1,3,8,0,4.0,2,645,3,2,576,36,0,0,0,0,4,0,0,0,0,0,1,0,219500
10,68,20,3,72.0,10665,2,2,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1479,0,0,2,0,3,1,3,7,0,4.0,2,558,3,2,144,29,0,0,0,0,0,0,0,0,0,0,1,0,226000
11,90,20,3,60.0,8070,2,1,2,2,1.0,1,4,4,4,16,4,5,6,1,5.0,990,0,0,1,0,3,1,2,5,0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,123600
12,95,60,3,69.0,9337,2,2,2,2,1.0,1,4,4,4,16,6,5,6,1,5.0,905,881,0,2,1,3,1,3,7,0,4.0,2,684,3,2,0,162,0,0,0,0,0,0,0,0,0,0,1,0,204750
13,97,20,3,78.0,10264,2,2,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1588,0,0,2,0,3,1,3,6,0,4.0,2,472,3,2,158,29,0,0,0,0,0,0,0,0,0,0,1,0,214000
14,104,20,3,94.0,10402,2,2,2,2,1.5,1,4,4,4,16,7,5,6,1,5.0,1226,0,0,2,0,3,1,3,6,0,4.0,3,740,3,2,0,36,0,0,0,0,0,0,0,0,0,0,1,0,198900
15,113,60,3,77.0,9965,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1282,1414,0,2,1,4,1,4,10,1,5.0,3,792,3,2,120,184,0,0,168,0,0,0,0,0,0,0,0,1,383970
16,120,60,3,65.0,8461,2,1,2,2,1.0,1,4,4,4,16,6,5,6,1,5.0,728,728,0,2,1,3,1,3,8,1,4.0,2,390,3,2,0,24,0,0,0,0,0,0,0,0,0,0,0,1,163990
17,139,60,3,73.0,9066,2,2,2,2,1.0,1,4,4,4,16,8,5,6,1,5.0,1004,848,0,2,1,3,1,3,7,2,4.0,3,660,3,2,224,106,0,0,0,0,4,0,0,0,0,0,1,0,230000
18,140,60,3,65.0,15426,2,2,2,2,1.0,1,4,4,4,16,6,5,6,1,5.0,928,836,0,2,1,3,1,3,7,0,4.0,2,470,3,2,276,99,0,0,0,0,3,0,0,0,0,0,1,0,231500
19,142,20,3,78.0,11645,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1734,0,0,2,0,3,1,3,7,0,4.0,2,660,3,2,160,24,0,0,0,0,0,0,0,0,0,0,1,0,260000
20,144,20,3,78.0,10335,2,2,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1501,0,0,2,0,3,1,3,6,0,4.0,2,577,3,2,144,29,0,0,0,0,0,0,0,0,0,0,1,0,204000
21,151,20,3,120.0,10356,2,1,2,2,1.5,1,4,4,4,16,5,6,6,1,5.0,969,0,0,1,1,3,1,2,5,0,4.0,2,440,3,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,122000
22,193,20,3,68.0,9017,2,2,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1431,0,0,2,0,3,1,3,6,0,4.0,2,666,3,2,0,35,0,0,0,0,0,0,0,0,0,0,1,0,192000
23,195,20,3,60.0,7180,2,2,2,2,1.0,1,4,4,4,16,5,7,6,1,5.0,864,0,0,1,0,3,1,2,5,0,3.0,1,352,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,127000
24,204,120,2,70.04995836802665,4438,2,1,2,2,1.0,1,4,4,3,16,6,5,6,1,5.0,848,0,0,1,0,1,1,3,3,1,4.0,2,420,3,2,149,0,0,0,0,0,0,0,0,0,0,0,1,0,149000
25,214,20,3,43.0,13568,2,3,2,2,3.0,1,4,4,4,16,5,5,6,1,5.0,990,0,1,1,0,3,1,2,5,0,4.0,2,576,3,2,224,0,0,0,0,0,0,0,0,0,0,0,1,0,156000
26,215,60,3,70.04995836802665,10900,2,2,2,2,1.0,1,4,4,4,16,6,7,6,1,5.0,689,703,0,1,1,3,1,2,6,0,4.0,1,299,3,2,0,36,0,0,0,0,3,450,0,0,0,0,1,0,161750
27,217,20,3,65.0,8450,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1436,0,0,2,0,3,1,3,8,0,4.0,2,484,3,2,139,98,0,0,0,0,0,0,0,0,0,0,1,0,210000
28,221,20,3,73.0,8990,2,2,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1498,0,0,2,0,2,1,3,5,0,4.0,2,675,3,2,351,33,0,0,0,0,0,0,0,0,0,0,0,1,204900
29,234,20,3,75.0,10650,2,1,2,2,1.5,1,4,4,4,16,5,6,6,1,5.0,894,0,0,1,0,3,1,2,5,0,4.0,1,308,3,2,365,0,0,0,0,0,3,0,0,0,0,0,1,0,128200
30,237,20,3,65.0,8773,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1414,0,0,2,0,3,1,3,6,0,4.0,2,494,3,2,132,105,0,0,0,0,0,0,0,0,0,0,1,0,185500
31,249,60,3,72.0,11317,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,840,828,0,2,1,3,1,3,8,0,4.0,2,500,3,2,144,68,0,0,0,0,0,0,0,0,0,0,1,0,180000
32,258,20,3,68.0,8814,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1604,0,0,2,1,3,1,3,8,1,4.0,2,660,3,2,123,110,0,0,0,0,0,0,1,0,0,0,0,0,220000
33,259,60,3,80.0,12435,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,963,829,0,2,1,3,1,3,7,1,4.0,2,564,3,2,0,96,0,245,0,0,0,0,0,0,0,0,1,0,231500
34,262,60,3,69.0,9588,2,2,2,2,1.0,1,4,4,4,16,8,5,6,1,5.0,1482,1092,0,2,1,3,1,4,10,1,5.0,3,868,3,2,0,148,0,0,0,0,0,0,0,0,0,0,0,1,276000
35,291,60,3,120.0,15611,2,1,2,2,1.0,1,4,4,4,16,8,5,6,1,5.0,1079,840,0,2,1,3,1,3,8,1,4.0,2,685,3,2,0,51,0,0,0,0,0,0,0,0,0,0,0,1,233230
36,302,60,3,66.0,16226,2,2,2,2,1.0,1,4,4,4,16,8,5,6,1,5.0,1210,1242,0,2,1,4,1,3,9,1,5.0,2,683,3,2,208,50,0,0,0,0,0,0,0,0,0,0,1,0,267000
37,303,20,3,118.0,13704,2,2,2,2,1.5,1,4,4,4,16,7,5,6,1,5.0,1541,0,0,2,0,3,1,3,6,1,4.0,3,843,3,2,468,81,0,0,0,0,0,0,0,0,0,0,1,0,205000
38,304,20,3,70.0,9800,2,1,2,2,1.5,1,4,4,4,16,5,7,6,1,5.0,894,0,0,1,0,3,1,2,5,0,4.0,2,552,3,2,256,0,0,0,0,0,2,0,1,0,0,0,0,0,149900
39,306,20,3,80.0,10386,2,1,2,2,1.0,1,4,4,4,16,8,5,6,1,5.0,2000,0,0,2,0,3,1,3,8,0,4.0,3,888,3,2,168,0,0,0,0,0,0,0,0,0,0,0,1,0,305900
40,338,20,3,70.0,9135,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1536,0,0,2,0,3,1,3,7,0,4.0,2,532,3,2,192,74,0,0,0,0,0,0,0,0,0,0,1,0,214000
41,356,20,3,105.0,11249,2,3,2,2,1.0,1,4,4,4,16,6,5,6,1,5.0,1200,0,0,2,0,3,1,3,6,0,4.0,2,521,3,2,0,26,0,0,0,0,0,0,0,0,0,0,1,0,177500
42,375,60,3,65.0,8200,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,847,1081,0,2,1,4,1,3,8,1,5.0,2,434,3,2,100,48,0,0,0,0,0,0,0,0,0,0,1,0,219500
43,377,85,3,57.0,8846,2,2,2,2,3.0,1,4,4,4,16,5,5,6,1,5.0,914,0,0,1,0,2,1,2,5,0,3.0,2,576,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,148000
44,383,60,3,79.0,9245,2,2,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,939,858,0,2,1,3,1,3,8,0,4.0,2,639,3,2,144,53,0,0,0,0,0,0,0,0,0,0,1,0,213500
45,389,20,3,93.0,9382,2,2,2,2,3.0,1,4,4,4,16,7,5,6,1,5.0,1479,0,0,2,0,3,1,3,6,0,4.0,2,577,3,2,120,25,0,0,0,0,0,0,0,0,0,0,1,0,191000
46,397,20,3,60.0,7200,2,1,3,2,1.0,1,4,4,4,16,5,5,6,1,5.0,894,0,0,1,0,2,1,2,6,0,3.0,2,600,3,2,215,0,0,0,0,0,0,0,0,0,0,0,1,0,123000
47,402,20,3,65.0,8767,2,2,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1310,0,0,2,0,3,1,3,6,1,4.0,2,400,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,164990
48,429,20,3,64.0,6762,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1208,0,0,2,0,2,1,3,6,0,4.0,2,628,3,2,105,54,0,0,0,0,0,0,0,0,0,0,0,1,195400
49,436,60,3,43.0,10667,2,3,2,2,3.0,1,7,4,4,16,7,6,6,1,5.0,827,834,0,2,1,3,1,3,6,1,4.0,2,550,3,2,158,61,0,0,0,0,0,0,0,0,0,0,1,0,212000
50,445,60,3,70.0,8750,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,933,975,0,2,1,4,1,3,8,1,4.0,2,493,3,2,144,133,0,0,0,0,0,0,0,0,0,0,1,0,210000
51,465,20,3,60.0,8430,2,1,4,2,1.0,2,4,4,4,16,5,5,6,1,5.0,1040,0,0,2,0,3,1,2,5,0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,124000
52,477,20,3,75.0,13125,2,1,2,2,1.0,2,4,4,4,16,6,5,6,1,5.0,1493,0,0,2,0,3,1,3,7,1,4.0,2,508,3,2,140,39,0,0,0,0,0,0,0,0,0,0,1,0,208900
53,479,20,3,79.0,10637,2,1,2,2,1.0,1,4,4,4,16,8,5,6,1,5.0,1718,0,0,2,0,3,1,3,7,1,4.0,3,826,3,2,208,44,0,0,0,0,0,0,0,0,0,0,1,0,297000
54,519,60,3,70.04995836802665,9531,2,2,2,2,3.0,1,4,4,4,16,6,5,6,1,5.0,882,914,0,2,1,3,1,2,7,0,4.0,2,546,3,2,0,36,0,0,0,0,3,0,0,0,0,0,1,0,211000
55,537,60,3,57.0,8924,2,2,2,2,3.0,1,4,4,4,16,7,5,6,1,5.0,880,844,0,2,1,3,1,3,8,0,4.0,2,527,3,2,120,155,0,0,0,0,0,0,0,0,0,0,1,0,188000
56,540,20,3,70.04995836802665,11423,2,1,2,2,1.0,1,4,4,4,16,8,5,6,1,5.0,1601,0,0,2,0,3,1,3,6,1,4.0,2,670,3,2,180,0,0,0,0,0,3,2000,0,0,0,0,1,0,272000
57,591,60,3,64.0,8320,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,770,812,0,2,1,3,1,3,6,0,4.0,2,520,3,2,0,45,0,0,0,0,0,0,0,0,0,0,1,0,185900
58,594,120,2,70.04995836802665,4435,2,1,2,2,1.0,1,4,4,3,16,6,5,6,1,5.0,848,0,0,1,0,1,1,3,4,0,4.0,2,420,3,2,140,0,0,0,0,0,0,0,0,0,0,0,1,0,140000
59,595,20,3,88.0,7990,2,2,2,2,1.0,1,4,4,4,16,5,6,6,1,5.0,924,0,0,1,0,3,1,2,5,0,3.0,1,280,3,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,110000
60,605,20,3,88.0,12803,2,2,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1494,0,0,2,0,3,1,3,6,1,4.0,2,530,3,2,192,36,0,0,0,0,0,0,0,0,0,0,1,0,221000
61,607,20,3,82.0,12464,2,3,3,2,1.5,2,4,4,4,16,5,5,6,1,5.0,1040,0,0,1,0,3,1,3,6,0,3.0,2,576,3,2,168,0,0,0,0,0,4,0,0,0,0,0,1,0,152000
